image,death_count
001_22_IMG_Copyof2nd14220136402_AGRIPHOTO_TIMSCRIVENER-scaled_jpg.rf.47fba50a2cefe8d218643d8730346957.jpg,0
1533098087717_jpg.rf.421d5d8c889224cb5e32ea2842f456ee.jpg,1
1fdqwpge7k75_jpg.rf.77250893c40d9a528b6cfb1cc8b269b5.jpg,0
93292270_MTEyNS0xNTAwLTA1NzM1ZTk3YzQ_jpg.rf.2893fc6e3a79066b321a9e14066a7cf7.jpg,0
Broiler-benefits_embedded-1-_jpg.rf.02e055c987a3edca21afbb05f618c2fa.jpg,0
Broilers-c-TimScriv-1422013-6400-2_jpg.rf.19412cba68b53cde1d5cd2fb6d75d279.jpg,0
IMG20220702135022_jpg.rf.3b2f7dba9b2969cd61937e1717b3d927.jpg,0
IMG20220702135033_jpg.rf.3b4f805d7a3a6398799cfb41d5a4b7d0.jpg,0
IMG20220702135049_jpg.rf.f810a1af1171efd725e0704fe1327d73.jpg,0
IMG20220702135051_jpg.rf.02d4051b4d6d308828ef212416e046a9.jpg,0
IMG20220702135053_jpg.rf.1767abd061dbd9625cd46c147420562e.jpg,0
IMG20220702135110_jpg.rf.7a7ce1f6bf71b986d5fa2a74bf64ad4c.jpg,0
IMG20220702135246_jpg.rf.6c425fc1968e0855a39936a48497b071.jpg,0
IMG20220702135346_jpg.rf.80bd6b15f0170ba2ab6e0d9aa0ba49e3.jpg,0
IMG20220702135434_jpg.rf.a9de025c2a6735575ec78ebd75d5017e.jpg,0
IMG20220702135437_jpg.rf.7387a76d5e293ef536590294daecf435.jpg,0
IMG20220702135441_jpg.rf.c1923966fe79496cfc21c2e0ea740aa9.jpg,1
IMG20220702135442_jpg.rf.4cec6a58c15d65c0b782017d4474b792.jpg,0
IMG20220703113659_jpg.rf.9b792200e4176e6f99048ce756b46a41.jpg,1
IMG20220703113702_jpg.rf.0637c01c5d950f2189ccf83448728741.jpg,1
IMG20220703113705_jpg.rf.49ac0a061cf17566e4b830a70ab8c62b.jpg,1
IMG20220703113820_jpg.rf.e202a4539bcbb0761608feaa15779bbc.jpg,1
IMG20220703113828_jpg.rf.d473a5c41118b3f5641624bfff833a73.jpg,1
IMG20220703113832_jpg.rf.99327ace2d327f246158145d39372a7c.jpg,1
IMG20220703113907_jpg.rf.83d269305f6c711ac3b14a4becc65b61.jpg,1
IMG20220703113908_jpg.rf.d294257a2ca63f6714b4dc509b28bb1d.jpg,1
