image,img_path,class,class_name,xc,yc,w,h,xmin,ymin,xmax,ymax,img_w,img_h,area,area_norm,aspect
001_438_IMG_gro401342-003-848x565_jpg.rf.599ca87d534a6cc9b1a5a96e052b5e2e.jpg,new_chichken_dataset-1\train\images\001_438_IMG_gro401342-003-848x565_jpg.rf.599ca87d534a6cc9b1a5a96e052b5e2e.jpg,1,healthy_chicken,0.2541509433962264,0.18584070796460178,0.4168396226415095,0.35398230088495575,38.77999999999997,5.000000000000008,392.26000000000005,205.0,848,565,70696.00000000001,0.14755384872265823,1.7673999999911634
001_438_IMG_gro401342-003-848x565_jpg.rf.599ca87d534a6cc9b1a5a96e052b5e2e.jpg,new_chichken_dataset-1\train\images\001_438_IMG_gro401342-003-848x565_jpg.rf.599ca87d534a6cc9b1a5a96e052b5e2e.jpg,1,healthy_chicken,0.41719339622641505,0.19469026548672566,0.21189858490566038,0.3893805309734513,263.93499999999995,0.0,443.6249999999999,220.0,848,565,39531.79999999999,0.08250918350308897,0.8167727272690144
001_438_IMG_gro401342-003-848x565_jpg.rf.599ca87d534a6cc9b1a5a96e052b5e2e.jpg,new_chichken_dataset-1\train\images\001_438_IMG_gro401342-003-848x565_jpg.rf.599ca87d534a6cc9b1a5a96e052b5e2e.jpg,1,healthy_chicken,0.7060259433962265,0.22861946902654864,0.4751061320754717,0.3510265486725664,397.26500000000004,30.00499999999998,800.1550000000001,228.33499999999998,848,565,79905.1737,0.1667748657956253,2.031412292633332
001_438_IMG_gro401342-003-848x565_jpg.rf.599ca87d534a6cc9b1a5a96e052b5e2e.jpg,new_chichken_dataset-1\train\images\001_438_IMG_gro401342-003-848x565_jpg.rf.599ca87d534a6cc9b1a5a96e052b5e2e.jpg,1,healthy_chicken,0.2658608490566038,0.5118053097345133,0.4988561320754717,0.48083185840707965,13.935000000000015,153.33500000000004,436.965,425.00500000000005,848,565,114924.5601,0.23986592106361662,1.5571465380735554
001_438_IMG_gro401342-003-848x565_jpg.rf.599ca87d534a6cc9b1a5a96e052b5e2e.jpg,new_chichken_dataset-1\train\images\001_438_IMG_gro401342-003-848x565_jpg.rf.599ca87d534a6cc9b1a5a96e052b5e2e.jpg,1,healthy_chicken,0.6142216981132076,0.7987787610619469,0.5980896226415094,0.4024424778761062,267.27000000000004,337.62,774.45,565.0,848,565,115322.5884,0.24069666972783435,2.2305391854946324
001_457_rb-image-2868448_jpeg.rf.482051023f2c398927b64dc2a74aaf3e.jpg,new_chichken_dataset-1\train\images\001_457_rb-image-2868448_jpeg.rf.482051023f2c398927b64dc2a74aaf3e.jpg,1,healthy_chicken,0.61558125,0.6007497656982193,0.63799375,0.7985098406747891,474.5349999999999,214.99499999999995,1495.325,1067.0,1600,1067,869718.1839500003,0.5094412980025775,1.1981032975144534
001_572_IMG_crossbredweb-848x565_jpg.rf.90c9b1496357026aa7212fa36844bce2.jpg,new_chichken_dataset-1\train\images\001_572_IMG_crossbredweb-848x565_jpg.rf.90c9b1496357026aa7212fa36844bce2.jpg,1,healthy_chicken,0.13359669811320757,0.17824778761061946,0.1649056603773585,0.24525663716814158,43.37000000000002,31.425,183.21,169.99499999999998,848,565,19377.62879999999,0.040444207714142574,1.0091650429313044
001_572_IMG_crossbredweb-848x565_jpg.rf.90c9b1496357026aa7212fa36844bce2.jpg,new_chichken_dataset-1\train\images\001_572_IMG_crossbredweb-848x565_jpg.rf.90c9b1496357026aa7212fa36844bce2.jpg,1,healthy_chicken,0.631308962264151,0.23387610619469024,0.18997641509433963,0.2907787610619469,454.8,49.99499999999999,615.9000000000001,214.28499999999997,848,565,26467.119000000006,0.05524110661212224,0.9805831152171133
001_572_IMG_crossbredweb-848x565_jpg.rf.90c9b1496357026aa7212fa36844bce2.jpg,new_chichken_dataset-1\train\images\001_572_IMG_crossbredweb-848x565_jpg.rf.90c9b1496357026aa7212fa36844bce2.jpg,1,healthy_chicken,0.40249999999999997,0.4719823008849558,0.2184316037735849,0.40707964601769914,248.70499999999996,151.67000000000002,433.935,381.6700000000001,848,565,42602.90000000002,0.08891905994322931,0.805347826083455
001_572_IMG_crossbredweb-848x565_jpg.rf.90c9b1496357026aa7212fa36844bce2.jpg,new_chichken_dataset-1\train\images\001_572_IMG_crossbredweb-848x565_jpg.rf.90c9b1496357026aa7212fa36844bce2.jpg,1,healthy_chicken,0.18437499999999998,0.5501415929203539,0.15547169811320755,0.3923362831858407,90.42999999999999,199.99499999999998,222.26999999999998,421.66499999999996,848,565,29224.972799999992,0.060997188178326917,0.5947579735616242
001_572_IMG_crossbredweb-848x565_jpg.rf.90c9b1496357026aa7212fa36844bce2.jpg,new_chichken_dataset-1\train\images\001_572_IMG_crossbredweb-848x565_jpg.rf.90c9b1496357026aa7212fa36844bce2.jpg,1,healthy_chicken,0.5704599056603774,0.5796460176991151,0.2786556603773585,0.5103185840707964,365.6000000000001,183.335,601.9,471.665,848,565,68132.37899999999,0.1422031620470863,0.8195470467838252
001_572_IMG_crossbredweb-848x565_jpg.rf.90c9b1496357026aa7212fa36844bce2.jpg,new_chichken_dataset-1\train\images\001_572_IMG_crossbredweb-848x565_jpg.rf.90c9b1496357026aa7212fa36844bce2.jpg,1,healthy_chicken,0.6952358490566037,0.6946902654867256,0.33558962264150943,0.42182300884955753,447.27,273.335,731.8499999999999,511.665,848,565,67823.95139999999,0.1415594243613291,1.1940586581580406
001_644_boerderij-image-1408181-848x565_jpeg.rf.28bd2858eaf0b0cee1acef526e6545d0.jpg,new_chichken_dataset-1\train\images\001_644_boerderij-image-1408181-848x565_jpeg.rf.28bd2858eaf0b0cee1acef526e6545d0.jpg,1,healthy_chicken,0.2969811320754717,0.3046725663716814,0.08399764150943397,0.19975221238938054,216.225,115.70999999999998,287.45500000000004,228.57,848,565,8039.017800000006,0.016778714726999513,0.6311359206040129
001_644_boerderij-image-1408181-848x565_jpeg.rf.28bd2858eaf0b0cee1acef526e6545d0.jpg,new_chichken_dataset-1\train\images\001_644_boerderij-image-1408181-848x565_jpeg.rf.28bd2858eaf0b0cee1acef526e6545d0.jpg,1,healthy_chicken,0.1961556603773585,0.33038938053097344,0.12010613207547169,0.24189380530973448,115.41499999999999,118.33500000000001,217.26500000000001,255.005,848,565,13919.839500000002,0.029052929328769416,0.7452257261963475
001_644_boerderij-image-1408181-848x565_jpeg.rf.28bd2858eaf0b0cee1acef526e6545d0.jpg,new_chichken_dataset-1\train\images\001_644_boerderij-image-1408181-848x565_jpeg.rf.28bd2858eaf0b0cee1acef526e6545d0.jpg,1,healthy_chicken,0.797429245283019,0.37315044247787615,0.15476415094339624,0.2743362831858407,610.6000000000001,133.33000000000004,741.84,288.33,848,565,20342.199999999975,0.04245742194022369,0.8467096774138919
001_644_boerderij-image-1408181-848x565_jpeg.rf.28bd2858eaf0b0cee1acef526e6545d0.jpg,new_chichken_dataset-1\train\images\001_644_boerderij-image-1408181-848x565_jpeg.rf.28bd2858eaf0b0cee1acef526e6545d0.jpg,1,healthy_chicken,0.07235849056603774,0.39676106194690264,0.10826650943396227,0.22123893805309736,15.455000000000005,161.67,107.265,286.67,848,565,11476.250000000004,0.023952767573885463,0.7344799999941239
